asin,price_mean,price_max,price_min,bsr_mean,bsr_max,bsr_min,score_mean,score_max,score_min,url,upload_date
B089LCQX13,17.99,17.99,17.99,32184.333333333332,55951,16747,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCQX13.jpg,2020-06-02
B0862NSMS1,16.99,16.99,16.99,32546.749999999996,54231,13681,4.375,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0862NSMS1.jpg,2020-03-18
B089LT9CMK,16.99,16.99,16.99,32842.0,51582,20629,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LT9CMK.jpg,2020-06-03
B089LKTV1V,19.95,19.95,19.95,32977.833333333336,46487,16946,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LKTV1V.jpg,2020-06-02
B085SVQT7M,17.99,17.99,17.99,33602.6,67826,18427,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SVQT7M.jpg,2020-03-11
B085XQRG6D,17.95,17.95,17.95,34304.666666666664,50028,23357,3.822222222222222,4.3,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085XQRG6D.jpg,2020-03-15
B085WQYVNQ,16.99,16.99,16.99,35008.2,69812,11341,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085WQYVNQ.jpg,2020-03-13
B089R58T74,17.616666666666664,18.95,15.95,37552.5,51374,20268,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089R58T74.jpg,2020-06-05
B0866S6GPP,17.99,17.99,17.99,41302.75,81158,22970,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0866S6GPP.jpg,2020-03-20
B0869CQ69D,19.483333333333338,19.92,15.99,41442.666666666664,66078,21002,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0869CQ69D.jpg,2020-03-23
B089N9245Z,16.49,16.49,16.49,42287.0,79168,18849,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089N9245Z.jpg,2020-06-03
B085V7YC31,15.95,15.95,15.95,42524.0,86824,24540,5.0,5.0,5.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V7YC31.jpg,2020-03-12
B0866T5C3C,15.757142857142858,17.9,14.9,42745.71428571428,86997,18492,3.428571428571429,4.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0866T5C3C.jpg,2020-03-20
B085TNZMX8,17.99,17.99,17.99,42931.666666666664,61237,21143,3.2,3.2,3.2,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085TNZMX8.jpg,2020-03-12
B085R8QYPQ,19.95,19.95,19.95,43528.6,66580,21064,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085R8QYPQ.jpg,2020-03-10
B089LKVQ7Z,16.95,16.95,16.95,44317.5,79271,18523,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LKVQ7Z.jpg,2020-06-02
B085V6R4M3,15.95,15.95,15.95,44717.8,77663,19473,1.0,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V6R4M3.jpg,2020-03-12
B085Y2B2KG,15.74,16.99,14.99,45801.0,92453,16632,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085Y2B2KG.jpg,2020-03-15
B0864WFHGQ,16.92,16.92,16.92,46647.42857142857,75955,14774,4.285714285714286,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0864WFHGQ.jpg,2020-03-19
B085SCJ4S1,16.99,16.99,16.99,47719.0,62008,24012,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SCJ4S1.jpg,2020-03-11
